TRSP,Tristram's Storm-Petrel
LSTP,Least Storm-Petrel
NOGP,Northern Giant-Petrel
NOFU,Northern Fulmar
GFPE,Gray-faced Petrel
PRPE,Providence Petrel
KEPE,Kermadec Petrel
TRPE,Trindade Petrel
HEPE,Herald Petrel
MUPE,Murphy's Petrel
MOPE,Mottled Petrel
BEPE,Bermuda Petrel
BCPE,Black-capped Petrel
JFPE,Juan Fernandez Petrel
HAPE,Hawaiian Petrel
WNPE,White-necked Petrel
BOPE,Bonin Petrel
BWPE,Black-winged Petrel
FEPE,Fea's Petrel
ZIPE,Zino's Petrel
COPE,Cook's Petrel
STPE,Stejneger's Petrel
TAPE,Tahiti Petrel
BUPE,Bulwer's Petrel
JOPE,Jouanin's Petrel
WCPE,White-chinned Petrel
PAPE,Parkinson's Petrel
STRS,Streaked Shearwater
CORS,Cory's Shearwater
CVSH,Cape Verde Shearwater
WTSH,Wedge-tailed Shearwater
BULS,Buller's Shearwater
STTS,Short-tailed Shearwater
SOSH,Sooty Shearwater
GRSH,Great Shearwater
PFSH,Pink-footed Shearwater
FFSH,Flesh-footed Shearwater
CHSH,Christmas Shearwater
MASH,Manx Shearwater
NESH,Newell's Shearwater
BRYS,Bryan's Shearwater
BVSH,Black-vented Shearwater
AUSH,Audubon's Shearwater
BASH,Barolo Shearwater
JABI,Jabiru
WOST,Wood Stork
LEFR,Lesser Frigatebird
MAFR,Magnificent Frigatebird
GREF,Great Frigatebird
MABO,Masked Booby
NABO,Nazca Booby
BFBO,Blue-footed Booby
BRBO,Brown Booby
RFBO,Red-footed Booby
NOGA,Northern Gannet
ANHI,Anhinga
BRAC,Brandt's Cormorant
RFCO,Red-faced Cormorant
PECO,Pelagic Cormorant
GRCO,Great Cormorant
DCCO,Double-crested Cormorant
NECO,Neotropic Cormorant
AWPE,American White Pelican
BRPE,Brown Pelican
AMBI,American Bittern
YEBI,Yellow Bittern
LEBI,Least Bittern
BTTH,Bare-throated Tiger-Heron
GBHE,Great Blue Heron
GRAH,Gray Heron
GREG,Great Egret
INEG,Medium (Intermediate) Egret
CHEG,Chinese Egret
LIEG,Little Egret
WERH,Western Reef-Heron
SNEG,Snowy Egret
LBHE,Little Blue Heron
TRHE,Tricolored Heron
REEG,Reddish Egret
CAEG,Western Cattle (Cattle) Egret
CHPH,Chinese Pond-Heron
GRHE,Green Heron
BCNH,Black-crowned Night Heron (Night-Heron)
YCNH,Yellow-crowned Night Heron (Night-Heron)
WHIB,White Ibis
SCIB,Scarlet Ibis
GLIB,Glossy Ibis
WFIB,White-faced Ibis
ROSP,Roseate Spoonbill
CACO,California Condor
BLVU,Black Vulture
TUVU,Turkey Vulture
OSPR,Osprey
WTKI,White-tailed Kite
HBKI,Hook-billed Kite
STKI,Swallow-tailed Kite
GOEA,Golden Eagle
DTKI,Double-toothed Kite
NOHA,Northern Harrier
WMHA,Western Marsh Harrier
CHIS,Chinese Sparrowhawk
SSHA,Sharp-shinned Hawk
COHA,Cooper's Hawk
AGOS,American Goshawk
BLAK,Black Kite
BAEA,Bald Eagle
WTEA,White-tailed Eagle
STSE,Steller's Sea-Eagle
MIKI,Mississippi Kite
CRHA,Crane Hawk
SNKI,Snail Kite
COBH,Common Black Hawk
GBHA,Great Black Hawk
ROHA,Roadside Hawk
HASH,Harris's Hawk
WTHA,White-tailed Hawk
GRHA,Gray Hawk
RSHA,Red-shouldered Hawk
BWHA,Broad-winged Hawk
HAWH,Hawaiian Hawk
STHA,Short-tailed Hawk
SWHA,Swainson's Hawk
ZTHA,Zone-tailed Hawk
RTHA,Red-tailed Hawk
RLHA,Rough-legged Hawk
FEHA,Ferruginous Hawk
LLBU,Long-legged Buzzard
BANO,Barn Owl
ORSO,Oriental Scops-Owl
FLOW,Flammulated Owl
WHSO,Whiskered Screech-Owl
WESO,Western Screech-Owl
EASO,Eastern Screech-Owl
GHOW,Great Horned Owl
SNOW,Snowy Owl
NHOW,Northern Hawk Owl
NOPO,Northern Pygmy-Owl
FEPO,Ferruginous Pygmy-Owl
ELOW,Elf Owl
BUOW,Burrowing Owl
SPOW,Spotted Owl
BADO,Barred Owl
